Mach,CD Power-Off
11.83,0.096737865
11.84,0.096721109
11.85,0.096704375
11.86,0.096687691
11.87,0.096671024
11.88,0.096654409
11.89,0.096637823
11.9,0.096621275
11.91,0.096604748
11.92,0.09658827
11.93,0.09657183
11.94,0.096555412
11.95,0.09653904
11.96,0.096522687
11.97,0.096506385
11.98,0.0964901
11.99,0.096473864
12,0.096457647
12.01,0.096441478
12.02,0.096425328
12.03,0.096409216
12.04,0.096393143
12.05,0.096377097
12.06,0.096361089
12.07,0.09634511
12.08,0.096329168
12.09,0.096313255
12.1,0.096297378
12.11,0.096281529
12.12,0.096265709
12.13,0.096249936
12.14,0.09623419
12.15,0.096218472
12.16,0.09620279
12.17,0.096187127
12.18,0.09617152
12.19,0.09615592
12.2,0.096140368
12.21,0.096124842
12.22,0.096109342
12.23,0.096093881
12.24,0.096078446
12.25,0.096063047
12.26,0.096047674
12.27,0.096032339
12.28,0.096017029
12.29,0.096001756
12.3,0.095986508
12.31,0.095971287
12.32,0.095956113
12.33,0.095940954
12.34,0.095925831
12.35,0.095910734
12.36,0.095895674
12.37,0.095880648
12.38,0.095865638
12.39,0.095850674
12.4,0.095835725
12.41,0.095820812
12.42,0.095805923
12.43,0.09579107
12.44,0.095776244
12.45,0.095761452
12.46,0.095746684
12.47,0.095731942
12.48,0.095717236
12.49,0.095702562
12.5,0.095687906
12.51,0.095673293
12.52,0.095658694
12.53,0.095644131
12.54,0.095629593
12.55,0.095615098
12.56,0.095600608
12.57,0.095586162
12.58,0.095571751
12.59,0.095557353
12.6,0.09554299
12.61,0.095528651
12.62,0.095514346
12.63,0.095500065
12.64,0.095485807
12.65,0.095471585
12.66,0.095457395
12.67,0.095443218
12.68,0.095429075
12.69,0.095414957
12.7,0.095400871
12.71,0.095386809
12.72,0.09537278
12.73,0.095358765
12.74,0.095344793
12.75,0.095330834
12.76,0.095316918
12.77,0.095303015
12.78,0.095289146
12.79,0.095275299
12.8,0.095261484
12.81,0.095247693
12.82,0.095233925
12.83,0.095220189
12.84,0.095206476
12.85,0.095192784
12.86,0.095179127
12.87,0.095165492
12.88,0.095151877
12.89,0.095138307
12.9,0.095124738
12.91,0.095111211
12.92,0.095097707
12.93,0.095084224
12.94,0.095070774
12.95,0.095057346
12.96,0.095043939
12.97,0.095030564
12.98,0.095017201
12.99,0.09500388
13,0.09499057
13.01,0.094977302
13.02,0.094964056
13.03,0.094950821
13.04,0.094937617
13.05,0.094924435
13.06,0.094911285
13.07,0.094898155
13.08,0.094885057
13.09,0.09487197
13.1,0.094858924
13.11,0.094845879
13.12,0.094832875
13.13,0.094819892
13.14,0.094806939
13.15,0.094793999
13.16,0.094781098
13.17,0.094768208
13.18,0.094755339
13.19,0.0947425
13.2,0.094729692
13.21,0.094716895
13.22,0.094704127
13.23,0.094691381
13.24,0.094678664
13.25,0.094665969
13.26,0.094653292
13.27,0.094640647
13.28,0.094628011
13.29,0.094615416
13.3,0.09460283
13.31,0.094590276
13.32,0.09457774
13.33,0.094565224
13.34,0.094552739
13.35,0.094540272
13.36,0.094527827
13.37,0.0945154
13.38,0.094503003
13.39,0.094490626
13.4,0.094478268
13.41,0.094465939
13.42,0.09445363
13.43,0.09444135
13.44,0.094429081
13.45,0.094416839
13.46,0.094404617
13.47,0.094392414
13.48,0.094380242
13.49,0.094368087
13.5,0.094355961
13.51,0.094343845
13.52,0.094331757
13.53,0.094319689
13.54,0.09430765
13.55,0.094295618
13.56,0.094283616
13.57,0.094271633
13.58,0.094259678
13.59,0.09424773
13.6,0.094235824
13.61,0.094223924
13.62,0.094212053
13.63,0.094200191
13.64,0.094188367
13.65,0.094176551
13.66,0.094164764
13.67,0.094152985
13.68,0.094141244
13.69,0.094129522
13.7,0.094117806
13.71,0.09410613
13.72,0.09409445
13.73,0.094082811
13.74,0.094071188
13.75,0.094059583
13.76,0.094047995
13.77,0.094036435
13.78,0.094024895
13.79,0.09401337
13.8,0.094001864
13.81,0.093990384
13.82,0.093978925
13.83,0.093967481
13.84,0.093956054
13.85,0.093944656
13.86,0.093933264
13.87,0.09392191
13.88,0.093910563
13.89,0.093899244
13.9,0.093887942
13.91,0.093876647
13.92,0.093865389
13.93,0.093854138
13.94,0.093842915
